,titulo,calificacion,edad
0,"Shake, Rattle and Rock!",2,6
1,Y a des limites,2,65
2,¡...Y a Dios que me perdone!,3,32
3,¿Y a mí quién me cuida? (I a mi qui em cuida?) (TV),6,81
4,"Et vous sinon, ça va? (S)",6,95
5,Y Adán y,6,76
6,"Et maintenant, on va où? (Where Do We Go Now?)",3,97
7,And Now... Ladies and Gentlemen,6,50
8,Y ahora elogiemos las películas (S),2,86
9,"Testa t'ammazzo, croce... sei morto... Mi chiamano Alleluja (Y ahora le llaman Aleluya)",4,61
10,"Little Man, What Now?",3,46
11,¿Y ahora qué hago? (TV Series),4,36
12,"¿Y ahora qué, señor fiscal?",1,45
13,"Y, ahora, una de ladrones (S)",4,56
14,Certain Fury,6,64
15,"...Y al tercer año, resucitó",5,64
16,Paris Underground,6,2
17,Y a-t-il un Français dans la salle?,6,10
18,Y a-t-il une vierge encore vivante? (S),1,15
19,Und wenn sie nicht gestorben sind... Die Kinder von Golzow - Das Ende der unendlichen Geschichte,4,32
20,¿Y cómo es él? (S),6,20
21,"Ming, ragazzi! (Mr. Hercules Against Karate)",5,76
22,Lo chiameremo Andrea,1,41
23,Et la tendresse?... Bordel!,1,57
24,"Y de postre, qué (S)",2,63
25,...Y de pronto el amanecer,1,9
26,Holidaze (TV),5,91
27,Trainwreck,4,27
28,"Y decirte alguna estupidez, por ejemplo, te quiero",4,85
29,Gli fumavano le Colt... lo chiamavano Camposanto,2,96
30,...Y del hijo (S),4,2
31,Y del seguro... ¡líbranos Señor!,1,12
32,Y después del cuplé,2,21
33,E poi lo chiamarono il magnifico,2,57
34,Straight on Till Morning,5,12
35,Billy Wilder: The Human Comedy (TV),1,63
36,Et Dieu créa la femme,1,61
37,E Dio disse a Caino,4,57
38,Gott mit uns (Dio è con noi) (The Fifth Day of Peace),2,99
39,Jury Duty,6,99
40,¿Y... dónde está el muerto?,1,33
41,¿Y dónde está el presidente?,1,20
42,15 août,1,68
43,Without Men,5,47
44,Love Finds a Home (TV),1,57
45,Love's Christmas Journey (TV),6,77
46,Love Takes Wing (TV),6,63
47,...Y el cielo fue tomado por asalto,5,89
48,Y el cine llegó (1900-1904),1,30
49,Y el cuerpo sigue aguantando (Un tipo de sangre) (S),3,13
50,...Y el demonio creó a los hombres,4,43
51,Y (El film),1,67
52,The Crowd,5,19
53,¿... Y el prójimo?,5,4
54,...a páty jezdec je Strach,3,55
55,...Y eligió el infierno,4,80
56,Und in der Mitte der Erde war Feuer,4,12
57,Botte di Natale,6,43
58,Frog (TV),4,85
59,Hide Your Smiling Faces,1,70
60,Along Came Polly,4,76
61,Und dann kam Wanda (TV),6,46
62,Y la Argentina detuvo su corazón!,2,48
63,And God Created Woman,4,26
64,Y la muerte lo seguía (S),4,87
65,E la nave va,6,27
66,Zendegi va digar hich (And Life Goes On…),3,40
67,Y las vacas vuelan,6,59
68,"Storia di arcieri, pugni e occhi neri",2,91
69,Finding Father Christmas (TV),3,95
70,Love Walked in,2,81
71,Behold a Pale Horse,1,53
72,I skrzypce przestaly grac (And the Violins Stopped Playing),5,29
73,Der erste Reis danach,4,60
74,Y mañana Navidad (S),3,80
75,...Y mañana serán hombres,1,49
76,...Y mañana serán hombres,3,32
77,Irreplaceable You,2,94
78,Y no llevaste luto por mí. El Cordobés,4,34
79,"Y otro año, perdices",3,74
80,¿Y por qué no? (S),2,67
81,...e per tetto un cielo di stelle,6,96
82,Must Love Dogs,1,19
83,Co kdyby...? (S),3,1
84,Eu Receberia as Piores Notí­cias dos seus Lindos Lábios,4,36
85,Y retiemble en sus centros la tierra (S),3,64
86,Y... se hizo justicia,4,30
87,Y se hizo justicia 2 (Y... se hizo justicia 2),3,60
88,Amazing Stories: What If...? (TV),6,40
89,...Altrimenti ci arrabbiamo,1,93
90,Eating Raoul,2,68
91,"Y si te vi, no me acuerdo",1,52
92,Et si on vivait tous ensemble?,5,95
93,Y sin embargo,6,37
94,I vsyo-taki ya veryu...,5,58
95,Y sin embargo se mueve,4,57
96,Stella Dallas,6,70
97,Y también Gaelle,1,93
98,Je préfère qu'on reste amis,5,86
99,...And Your Name Is Jonah (TV),1,63
100,...y tenemos sabor,3,51
101,Y: The Last Man Rising (S),6,64
102,Y todavía hay tiempo para verbenas (S),3,7
103,Y todo va bien (S),3,13
104,And You Thought Your Parents Were Weird,3,43
105,¿Y tú cuánto cuestas?,5,45
106,Y tu mamá también,4,32
107,"Et ta prostate, ça va ? (S)",3,54
108,"Y tú, ¿qué haces?",3,54
109,What the Bleep Do We Know!? (What the #$*! Do We Know!?),6,3
110,What the bleep!?: Down the rabbit hole,2,56
111,"Y tú, ¿qué tal? (S)",4,22
112,¿Y tú quién eres?,6,27
113,Y vino el remolino (1910-1914),5,59
114,E venne un uomo,3,37
115,Y yo entonces me llevé un tapón,4,86
116,Y yo paso con él (S),5,97
117,Y yo que la quiero tanto (S),4,4
118,Aurelio y los Vagabundos: Y yo solo estoy aquí de paso para decirte qué,3,57
119,#Ya (S),4,35
120,You're a Big Boy Now,1,56
121,Ya es tiempo de violencia,5,99
122,Ya (I Am),4,75
123,Ya la hicimos,2,65
124,"La vita, a volte, è molto dura, vero Provvidenza?",5,39
125,Ya no (S),6,41
126,Ya no basta con rezar,4,17
127,Non credo piu all'amore (La paura),4,80
128,Ya no es antes,3,69
129,Ya no hay hombres,5,67
130,Ya no los hacen como antes (Amantes),5,100
131,I Don't Feel at Home in This World Anymore,3,2
132,...ya no puede caminar (S),1,92
133,Can't Hardly Wait,5,79
134,I Don't Feel Anything Anymore (S),5,85
135,We Don't Live Here Anymore,1,55
136,"Ya no soy virgen, ¡olé!, ya no soy virgen",2,17
137,Ya no va más,6,94
138,Ya nos saquearon (1980-1984),5,22
139,Ya nunca más,4,58
140,Ya obyavlyayu vam voynu,3,61
141,Ya ostayus (S),5,85
142,Y'a pas d'âge (TV Series),3,79
143,Ça va passer... Mais quand? (TV),3,35
144,Ya sé quién eres (te he estado observando),2,25
145,I've Got Your Number,6,98
146,Ya somos hombres,6,63
147,¡Ya soy mujer!,2,83
148,Ya tenemos coche,2,72
149,¡Ya tengo a mi hijo!,6,76
150,Ya tiene comisario el pueblo,3,40
151,"Ya viene, aguanta, riégueme, mátame (S)",4,26
152,Ya viene el cortejo... (S),3,88
153,Yaaba,3,31
154,Yaanum Theeyavan,3,78
155,Yaar Anmulle,2,99
156,Yaaran Da Katchup,3,65
157,Precious Find,2,53
158,"Yacuna, amor a la vida",4,18
159,Yadamon (TV Series),3,26
160,Yago (TV Series),6,10
161,"Yago, pasión morena (TV Series)",4,40
162,Yaguar,5,99
163,Yahsi bati,1,53
164,Yahudi,4,60
165,Yajikita Toba Fushimi no maki (S),5,2
166,Yajikita son'nô no maki (S),3,86
167,Yajû shisubeshi,5,66
168,Yaju-deka,5,34
169,Yákar (Esperanza) (S),4,51
170,Yakari (TV Series),4,70
171,Yakisikli,3,22
172,Yakky Doodle (TV Series),1,85
173,Yaku (S),3,68
174,Yaku Patsa,3,41
175,"Yakuaya, la esencia del agua",5,61
176,The Yakuza,4,52
177,Yakuza to Kenpou,6,80
178,Gokudô Daisensô (Yakuza Apocalypse: The Great War Of The Underworld),4,47
179,Yakuza Deka (Gangster Cop),3,68
180,Yakuza deka: Marifana mitsubai soshiki (Yakuza Deka: The Assassin),2,59
181,Kikoku (Yakuza Demon),3,12
182,"Yakuza Eiga, une histoire du cinéma yakuza (TV)",4,85
183,Into the Sun (Yakuza),6,18
184,Yakuza kannon: iro jingi (Yakuza Goddess of Mercy: Mistress Jingi),5,63
185,Yakuza no hakaba: Kuchinashi no hana (Yakuza Burial: Jasmine Flower),5,44
186,Yakuza gurentai (893 Gurentai),1,27
187,Stories of the Dragon - Chapter 1: The Bouncer (S),3,80
188,Stories of the Dragon - Chapter 2: Another Haruka (S),6,95
189,Stories of the Dragon - Chapter 3: Prodigal Son (S),6,48
190,Shin gokudo no onna-tachi: horetara jigoku,4,86
191,Yatarô gasa,6,65
192,Gokudou heiki (Yakuza Weapon),4,43
193,Yakuzambie (S),6,14
194,Yakuza keibatsu-shi: Rinchi - shikei!,2,3
195,Yakyukyô no uta,4,64
196,Yalghaar,6,36
197,Yallah! Underground,1,5
198,¡Yallah! ¡Yallah!,6,83
199,Yam Daabo,1,75
200,Yama no Susume (TV Series),2,88
201,Yama onna kabe onna (TV Series),1,99
202,Yamada-kun to 7-nin no Majo (TV Series),1,57
203,Yamadeloid (Yamaderoido) (S),4,62
204,Yamagata sukurîmu,5,28
205,Yamagola: Malli Modalaindhi,3,74
206,Yamakasi,4,75
207,Yamaleela,1,2
208,Yamaleela 2,1,10
209,Yamasong: March of the Hollows,5,72
210,Otoko-tachi no Yamato,3,98
211,Yamato Nadeshiko Shichi Henge (TV Series),2,42
212,Yamato Takeru,2,58
213,Yambaó,6,65
214,Yamekraw (S),5,89
215,Yami no Bansôsha (TV Series),1,68
216,Yami no kânibaru,1,42
217,Yami to bôshi to hon no tabibito (TV Series),3,56
218,Yami Shibai / Yamishibai: Japanese Ghost Stories (TV Series),5,91
219,Yamla Pagla Deewana,1,15
220,Yamla Pagla Deewana 2,3,78
221,Yan chuang,1,62
222,Ha-Chaverim Shel Yana,1,77
223,Yanco,5,50
224,Yancy Derringer (TV Series),1,2
225,Naamsaang-neuiseung,2,97
226,"Yang Ban Xi, de 8 modelwerken",6,4
227,Yang mei zhou,4,72
228,Yang Yang,3,92
229,Yangon Road (S),3,77
230,Yangsan do,6,93
231,Yangtse Incident: The Story of H.M.S. Amethyst,4,48
232,Yankale (S),3,57
233,Yankee Buccaneer,6,35
234,Yankee Doodle Cricket (TV),5,49
235,Yankee Doodle Daffy (S),2,26
236,Yankee Doodle in Berlin,5,9
237,Yankee Pasha,4,84
238,Yankee Zulu,2,70
239,"Yanki, No! (TV)",4,68
240,Yankuba,1,100
241,Yanoosak,4,11
242,Yankee Doodle Dandy,5,56
243,Yanks,6,82
244,Yantra (S),4,12
245,Yaqui Drums,4,77
246,Yara,1,69
247,Yarará,1,92
248,Yarasa Adam: Bedmen (Turkish Batman & Robin),1,50
249,Yardbird (S),3,36
250,Yardbirds,3,42
251,Yardie,2,49
252,Garn,5,10
253,Yaroslav. Tysyachu let nazad,4,3
254,Yasak (TV Series),6,68
255,Yasamak Hakkimdir,5,13
256,Yasemin,6,35
257,Yaseminin Tatli Aski,6,83
258,Yasha,1,82
259,Yasha-ga-ike,1,32
260,Yasmine,3,29
261,Yasukuni,5,5
262,Yasuni,4,76
263,YAT Anshin! Uchû Ryokô (TV Series),2,19
264,Yatasto,6,61
265,Yatra,5,64
266,Yatsuhaka-mura (Village of the Eight Tombs),5,83
267,Yatsurugi: Heat Up Your Yatsurugi Spirit,5,53
268,Yattâman (Yatterman) (TV Series),1,6
269,Time Bokan Series: Yattâman (Yatterman) (TV Series),4,68
270,Yattâman (Yatterman),3,73
271,Yoru no Yatterman (TV Series),2,26
272,Yatterman: Shin Yatter Mecha Daishûgô! Omocha no Kuni de Daikessen da Koron!,2,42
273,Time Bokan Series: Yattodetaman (TV Series),3,28
274,Yatzy,5,84
275,Y'aura t'il de la neige à Noël?,3,91
276,Yaveños,2,33
277,Yawar Fiesta,3,97
278,Yawar mallku (La sangre del cóndor),2,27
279,Yawar Wanka,1,21
280,Yawara!,2,36
281,Yawarpampa: Campo de sangre (S),1,43
282,Yayoi Kusama: A Life in Polka Dots (Kusama: Infinity),5,100
283,Yayos (S),6,42
284,La suerte de quererte: Yayoselfies (S),4,52
285,Yazgi,4,99
286,[YBI-173] (S),1,71
287,"Ydessa, les ours et etc.",1,57
288,Ye ben,3,69
289,Ye Maaya Chesave,3,53
290,YEAH,5,23
291,Yeah! Yeah! Yeah! (S),2,57
292,Year by the Sea,3,61
293,Year of the Carnivore,6,39
294,Year of the Fish,6,28
295,Year of the Horse,3,64
296,Year of the Scab,6,59
297,Im Jahr der Schildkröte,6,66
298,Kita no zeronen,5,8
299,Year Six,2,30
300,Year Without a Summer,1,59
301,Year Zero: The Silent Death of Cambodia,1,85
302,Yearbook (S),3,15
303,Hasret,6,88
304,Years of the Beast,2,58
305,Taon noong ako'y anak sa labas,2,46
306,Yeast,2,7
307,Jedda,5,17
308,Yedi bela Hüsnü,2,62
309,Yeelen,1,21
310,Yefon,3,45
311,Yegor Bulychyov i drugiye,4,38
312,Yeh Jawaani Hai Deewani,2,45
313,Yeh Kaisi Mohabbat,4,20
314,Aozora êru,5,19
315,Yella,2,34
316,Yelling to the Sky,2,34
317,Yellow,5,63
318,Yellow,2,95
319,Yellow (S),5,96
320,Yellow (S),5,59
321,Yellow,3,80
322,Yellow Bird (S),2,22
323,Yellow Caesar (S),4,36
324,Yellow Cake (S),1,73
325,Kiiroi karasu,3,12
326,Kôryû: Ierô doragon,5,44
327,Kiroi Jou / Kiiroi zou (Yellow Elephant),4,36
328,Yellow Fever: The Rise and Fall of the Giallo,1,84
329,Yellow Hair and the Fortress of Gold,5,54
330,Yellow is Forbidden,2,53
331,Yellow Jack,1,23
332,Ierô Kiddo,2,59
333,Yellow: Le cugine,2,87
334,Ôsen chitai (Yellow Line),5,80
335,Zuti mjesec (S),6,17
336,Yellow Rain,3,8
337,Yellow River Aria,4,43
338,Yellow Rock,6,26
339,Huang se gu shi,2,32
340,Yellow Submarine,4,58
341,YellowBrickRoad,4,82
